UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
449782,"R",20,"R",0,"R",20,"R",15,"R",15,"R",0,"R",0,"R",5,"R",17,"Z",0,"R",17,"R",13,"R",0,"Z",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",2
449807,"R",48,"R",0,"R",48,"R",24,"R",41,"R",1,"R",6,"R",0,"R",13,"Z",0,"R",13,"R",13,"R",8,"Z",0,"R",8,"R",8,"R",27,"Z",0,"R",27,"R",20
449816,"R",86,"R",0,"R",86,"R",70,"R",74,"R",0,"R",0,"R",12,"R",6,"Z",0,"R",6,"R",5,"R",0,"Z",0,"R",0,"R",0,"R",80,"Z",0,"R",80,"R",69
449904,"R",134,"R",0,"R",134,"R",32,"R",55,"R",0,"R",0,"R",79,"R",86,"Z",0,"R",86,"R",44,"R",6,"Z",0,"R",6,"R",5,"R",42,"Z",0,"R",42,"R",6
449959,"R",36,"R",0,"R",36,"R",0,"R",26,"R",0,"R",0,"R",10,"R",22,"Z",0,"R",22,"R",16,"R",9,"Z",0,"R",9,"R",6,"R",5,"Z",0,"R",5,"R",4
449977,"R",56,"R",0,"R",56,"R",0,"R",39,"R",0,"R",0,"R",17,"R",30,"Z",0,"R",30,"R",23,"R",13,"Z",0,"R",13,"R",10,"R",13,"Z",0,"R",13,"R",6
449986,"R",67,"R",0,"R",67,"R",0,"R",51,"R",0,"R",0,"R",16,"R",31,"Z",0,"R",31,"R",24,"R",21,"Z",0,"R",21,"R",17,"R",15,"Z",0,"R",15,"R",10
449995,"R",79,"R",0,"R",79,"R",3,"R",59,"R",0,"R",0,"R",20,"R",47,"Z",0,"R",47,"R",34,"R",17,"Z",0,"R",17,"R",12,"R",15,"Z",0,"R",15,"R",13
450119,"R",45,"R",0,"R",45,"R",4,"R",14,"R",0,"R",4,"R",27,"R",41,"Z",0,"R",41,"R",12,"R",4,"Z",0,"R",4,"R",2,"R",0,"Z",0,"R",0,"R",0
450401,"R",551,"R",0,"R",551,"R",224,"R",426,"R",0,"R",0,"R",125,"R",332,"Z",0,"R",332,"R",291,"R",80,"Z",0,"R",80,"R",63,"R",139,"Z",0,"R",139,"R",72
450599,"R",44,"R",0,"R",44,"R",0,"R",19,"R",0,"R",1,"R",24,"R",35,"Z",0,"R",35,"R",15,"R",5,"Z",0,"R",5,"R",2,"R",4,"Z",0,"R",4,"R",2
450605,"R",40,"R",0,"R",40,"R",0,"R",18,"R",0,"R",0,"R",22,"R",28,"Z",0,"R",28,"R",11,"R",4,"Z",0,"R",4,"R",3,"R",8,"Z",0,"R",8,"R",4
450614,"R",34,"R",0,"R",34,"R",0,"R",11,"R",0,"R",0,"R",23,"R",32,"Z",0,"R",32,"R",10,"R",1,"Z",0,"R",1,"R",0,"R",1,"Z",0,"R",1,"R",1
450641,"R",23,"R",0,"R",23,"R",1,"R",17,"R",0,"R",0,"R",6,"R",15,"Z",0,"R",15,"R",11,"R",6,"Z",0,"R",6,"R",5,"R",2,"Z",0,"R",2,"R",1
450650,"R",84,"R",0,"R",84,"R",31,"R",64,"R",0,"R",0,"R",20,"R",45,"Z",0,"R",45,"R",34,"R",19,"Z",0,"R",19,"R",15,"R",20,"Z",0,"R",20,"R",15
450711,"R",87,"R",0,"R",87,"R",3,"R",50,"R",0,"R",34,"R",3,"R",87,"Z",0,"R",87,"R",50,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
450951,"R",52,"R",0,"R",52,"R",24,"R",49,"R",0,"R",0,"R",3,"R",28,"Z",0,"R",28,"R",26,"R",7,"Z",0,"R",7,"R",7,"R",17,"Z",0,"R",17,"R",16
450988,"R",129,"R",0,"R",129,"R",2,"R",121,"R",0,"R",0,"R",8,"R",82,"Z",0,"R",82,"R",79,"R",0,"Z",0,"R",0,"R",0,"R",47,"Z",0,"R",47,"R",42
